Month,FII_Net_Buy_Sell_RsCr,DII_Net_Buy_Sell_RsCr,Nifty_Closing,SIP_Contribution_RsCr
Aug-20,15749.86,-11046.78,11387.5,7792
Sep-20,-11410.69,110.3,11247.55,7788
Oct-20,14537.4,-17318.44,11642.4,7800
Nov-20,65238.6,-48339.44,12968.95,7302
Dec-20,48223.94,-37293.53,13981.75,8418
Jan-21,8980.81,-11970.54,13634.6,8023
Feb-21,42044.46,-16358.1,14529.15,7528
Mar-21,1245.22,5204.42,14690.7,9182
Apr-21,-12692.94,11088.62,14631.1,8596
May-21,-6015.34,2067.23,15582.8,8819
Jun-21,-25.89,7043.51,15721.5,9156
Jul-21,-23193.39,18393.92,15763.05,9609
Aug-21,-2568.52,6894.69,17132.2,9923
Sep-21,463.77,5948.85,17618.15,10351
Oct-21,-25572.19,4470.99,17671.65,10519
Nov-21,-39901.92,30560.27,16983.2,11005
Dec-21,-35493.59,31231.05,17354.05,11305
Jan-22,-41346.35,21928.4,17339.85,11517
Feb-22,-45720.07,42084.07,16793.9,11438
Mar-22,-43281.31,39677.03,17464.75,12328
Apr-22,-40652.75,30842.53,17102.55,11863
May-22,-54292.47,50835.54,16584.55,12286
Jun-22,-58112.37,46599.23,15780.25,12276
Jul-22,-6567.71,10546.02,17158.25,12140
Aug-22,22025.62,-7068.63,17759.3,12693
Sep-22,-18308.3,14119.75,17094.35,12976
Oct-22,-489.06,9276.97,18012.2,13041
Nov-22,22546.34,-6301.32,18758.35,13306
Dec-22,-14231.09,24159.13,18105.3,13573
Jan-23,-41464.73,33411.85,17662.15,13856
Feb-23,-11090.64,19239.28,17303.95,13686
Mar-23,1997.7,30548.77,17359.75,14276
Apr-23,5711.8,2216.57,18065,13728
May-23,27856.48,-3306.35,18534.4,14749
Jun-23,27250.01,4458.23,19189.05,14734
Jul-23,15533.19,-2697.66,19753.8,15245
Aug-23,-20620.65,25016.95,19253.8,15814
Sep-23,-26692.16,20312.65,19638.3,16042
Oct-23,-30827.2,28254.03,19079.6,16928
Nov-23,3875.83,14253.67,20133.15,17073
Dec-23,31959.78,12942.25,21731.4,17610
